"","Age","Temperature"
"499",0.605,1.41682052203529
"500",0.606,1.4087994878532
"501",0.608,1.39273491706607
"502",0.6092,1.38309550928041
"503",0.61,1.37667442195921
"504",0.612,1.36065888945691
"505",0.614,1.3447292617824
"506",0.6154,1.33365149446725
"507",0.616,1.32892637760189
"508",0.6166,1.32421636917201
"509",0.617,1.32108529284466
"510",0.619,1.30554931830475
"511",0.6192,1.30400765325473
"512",0.62,1.29786467192212
"513",0.6211,1.2894838131249
"514",0.623,1.275205445984
"515",0.624,1.26780101331359
"516",0.625,1.26047937420303
"517",0.627,1.24610506536766
"518",0.628,1.2390626161052
"519",0.63,1.22529268042433
"520",0.631,1.21857538263892
"521",0.632,1.21197674793886
"522",0.635,1.1929436721229
"523",0.636,1.18687067414915
"524",0.638,1.17516231168569
"525",0.6399,1.16461085524744
"526",0.64,1.16407160767536
"527",0.6413,1.15721018671365
"528",0.642,1.15362905965055
"529",0.644,1.14382939109122
"530",0.6443,1.14241409167926
"531",0.646,1.13465955435393
"532",0.648,1.1261064946493
"533",0.649,1.12205723551073
"534",0.652,1.11079875214445
"535",0.653,1.10733695568199
"536",0.656,1.09780191818546
"537",0.657,1.09490158829724
"538",0.6572,1.09433793763865
"539",0.6598,1.08750057311687
"540",0.66,1.08701185573197
"541",0.6625,1.08134242849817
"542",0.664,1.07832440339548
"543",0.6664,1.07407783645459
"544",0.6678,1.07192393932237
"545",0.668,1.07163535160328
"546",0.6708,1.06808625087646
"547",0.671,1.06786732694441
"548",0.672,1.06684051906708
"549",0.6731,1.06584016667617
"550",0.674,1.06512085949907
"551",0.675,1.0644247762551
"552",0.6757,1.064001284812
"553",0.676,1.06383570636043
"554",0.677,1.06335198999534
"555",0.6784,1.06284870469857
"556",0.68,1.06251677307632
"557",0.681,1.06243824212422
"558",0.683,1.06257124242661
"559",0.6837,1.0627072738917
"560",0.684,1.06277951420363
"561",0.685,1.06308012950684
"562",0.686,1.0634714677925
"563",0.6864,1.06365302747211
"564",0.688,1.0645197433926
"565",0.689,1.06517346017423
"566",0.69,1.06591139456175
"567",0.692,1.06763329150988
"568",0.694,1.06967251447026
"569",0.696,1.0720160166572
"570",0.6978,1.07437451595596
"571",0.7,1.07756365015272
"572",0.701,1.07912038907781
