Lineage,Speciation_Rate,Extinction_Rate,Net.diversification_Rate,Taxonomic.group,Biogeographic.origin,Habitat,tip_names
Pseudophilautus,0.0464993250517695,0.027191973968909,0.0193073510828605,Herpetofauna,Asian,Wet,Pseudophilautus_cf_popularis
Pseudophilautus,0.0477574338784061,0.0279276935180824,0.0198297403603237,Herpetofauna,Asian,Wet,Pseudophilautus_popularis
Pseudophilautus,0.0667818431315429,0.0390528279282964,0.0277290152032465,Herpetofauna,Asian,Wet,Pseudophilautus_alto
Pseudophilautus,0.0652141253831675,0.0381360546169213,0.0270780707662462,Herpetofauna,Asian,Wet,Pseudophilautus_stuarti
Pseudophilautus,0.0565189508601305,0.0330512720093822,0.0234676788507483,Herpetofauna,Asian,Wet,Pseudophilautus_viridis
Pseudophilautus,0.0670421325473871,0.0392050405251919,0.0278370920221952,Herpetofauna,Asian,Wet,Pseudophilautus_lunatus
Pseudophilautus,0.054798168178691,0.0320449890616672,0.0227531791170238,Herpetofauna,Asian,Wet,Pseudophilautus_sarasinorum
Pseudophilautus,0.0420508295389265,0.0245905733238166,0.01746025621511,Herpetofauna,Asian,Wet,Pseudophilautus_procax
Pseudophilautus,0.0377548704236486,0.0220783732369534,0.0156764971866952,Herpetofauna,Asian,Wet,Pseudophilautus_abundus
Pseudophilautus,0.0686486665287643,0.0401445128756646,0.0285041536530998,Herpetofauna,Asian,Wet,Pseudophilautus_newtonjayawardanei
Pseudophilautus,0.0442104897377246,0.0258535039973699,0.0183569857403547,Herpetofauna,Asian,Wet,Pseudophilautus_hankeni
Pseudophilautus,0.0415824516339704,0.0243166742987232,0.0172657773352472,Herpetofauna,Asian,Wet,Pseudophilautus_schmarda
Pseudophilautus,0.0549371689442207,0.0321262742242741,0.0228108947199466,Herpetofauna,Asian,Wet,Pseudophilautus_dilmah
Pseudophilautus,0.102046779001609,0.0596751319537093,0.0423716470478999,Herpetofauna,Asian,Wet,Pseudophilautus_karunarathnai
Pseudophilautus,0.0543104095657162,0.0317597565450155,0.0225506530207007,Herpetofauna,Asian,Wet,Pseudophilautus_pleurotaenia
Pseudophilautus,0.0560192300656091,0.0327590442228236,0.0232601858427855,Herpetofauna,Asian,Wet,Pseudophilautus_hoipolloi
Pseudophilautus,0.0578796696241108,0.0338469960154396,0.0240326736086712,Herpetofauna,Asian,Wet,Pseudophilautus_hoffmanni
Pseudophilautus,0.0602616489473192,0.035239934938296,0.0250217140090232,Herpetofauna,Asian,Wet,Pseudophilautus_asankai
Pseudophilautus,0.0580471718363788,0.0339449483145462,0.0241022235218326,Herpetofauna,Asian,Wet,Pseudophilautus_auratus
Pseudophilautus,0.0595530806220633,0.0348255768495689,0.0247275037724944,Herpetofauna,Asian,Wet,Pseudophilautus_samarakoon
Pseudophilautus,0.069569976818907,0.0406832786620272,0.0288866981568798,Herpetofauna,Asian,Wet,Pseudophilautus_ocularis
Pseudophilautus,0.0708610485992547,0.0414382743572146,0.0294227742420401,Herpetofauna,Asian,Wet,Pseudophilautus_bambaradeniyai
Pseudophilautus,0.0636597556513268,0.0372270869869779,0.0264326686643489,Herpetofauna,Asian,Wet,Pseudophilautus_caeruleus
